semantic_label,boat_id,dist_array_sum,lon_median,lat_median,fishing_ground,label,city,district,time_in,time_out,time_array_sum,lon,lat
0,10001256,477168.85224906413,120.43615,26.87525,9,,,,2019-09-01 09:00:00,2019-09-04 00:40:00,3820.0,,
1,10001256,157297.96984167534,120.76685,27.1184,9,,,,2019-09-04 00:50:00,2019-09-12 04:10:00,11720.0,,
2,10001256,932232.9462374237,120.4954,26.9069,9,,,,2019-09-12 07:50:00,2019-09-29 22:20:00,25350.0,,
3,10001256,1401.9935456107091,120.413,27.166999999999998,9,857.0,9.0,38.0,2019-09-29 22:30:00,2019-09-30 01:30:00,180.0,120.411,27.177125
4,10001256,4636.063277450782,120.3788,27.1953,9,839.0,9.0,38.0,2019-09-30 01:40:00,2019-09-30 02:40:00,60.0,120.37985,27.19405
5,10001256,9658.843220653607,120.363925,27.232324999999996,9,,,,2019-09-30 02:50:00,2019-09-30 03:40:00,50.0,,
6,10001256,2698.6224820529023,120.3148,27.2125,9,811.0,9.0,38.0,2019-09-30 04:10:00,2019-09-30 07:50:00,220.0,120.3164,27.2184
7,10001256,453609.43332846893,120.704,26.917625,9,,,,2019-09-30 23:40:00,2019-10-08 01:10:00,10170.0,,
8,10001256,1227.5073146334444,119.9435,26.1637,11,652.0,8.0,31.0,2019-10-08 01:20:00,2019-10-08 01:50:00,30.0,119.9425,26.1613
9,10001256,299942.82101300434,120.0973,25.18995,24,,,,2019-10-08 23:30:00,2019-10-12 07:50:00,4820.0,,
10,10001256,31843.861833243733,119.38,25.2074,24,,,,2019-10-12 08:00:00,2019-10-14 19:00:00,3540.0,,
11,10001256,1413.05341253111,119.3551,25.24785,24,189.0,7.0,22.0,2019-10-14 19:10:00,2019-10-14 19:40:00,30.0,119.3562,25.250149999999998
12,10001256,57739.36949037257,119.44235,25.1212,24,,,,2019-10-14 19:50:00,2019-10-16 15:30:00,2620.0,,
13,10001256,3243.5027084403755,119.4576,25.2012,24,265.0,7.0,22.0,2019-10-16 15:40:00,2019-10-16 19:30:00,230.0,119.4568,25.2008
14,10001256,36571.15080364404,120.24102500000001,26.03075,24,,,,2019-10-16 19:40:00,2019-10-17 06:20:00,640.0,,
15,10001256,95521.33174053335,119.5491,25.1145,24,,,,2019-10-17 07:00:00,2019-10-22 02:50:00,6950.0,,
16,10001256,166909.83064566477,120.680525,26.615475,24,,,,2019-10-22 03:30:00,2019-10-23 02:50:00,1400.0,,
17,10001256,182965.5793954349,120.033,25.763424999999998,24,,,,2019-10-23 03:00:00,2019-10-25 14:10:00,3550.0,,
18,10001256,78533.24794740361,120.6001,26.738950000000003,11,,,,2019-10-25 14:20:00,2019-10-27 13:20:00,2820.0,,
